"Park","Reference_Code","Scientific_Name","Common_Name","First_Year"
"FRHI","2315071","Turdus migratorius","American Robin","2011"
"FRHI","2315071","Spinus tristis","American Goldfinch","2011"
"FRHI","2315071","Sitta carolinensis","White-breasted Nuthatch","2011"
"FRHI","2315071","Setophaga dominica","Yellow-throated Warbler","2011"
"FRHI","2315071","Seiurus aurocapilla","Ovenbird","2011"
"FRHI","2315071","Poecile carolinensis","Carolina Chickadee","2011"
"FRHI","2315071","Piranga olivacea","Scarlet Tanager","2011"
"FRHI","2315071","Pipilo erythrophthalmus","Eastern Towhee","2011"
"FRHI","2315071","Cardinalis cardinalis","Northern Cardinal","2011"
"FRHI","2315071","Parkesia motacilla","Louisiana Waterthrush","2011"
"FONE","2315071","Pipilo erythrophthalmus","Eastern Towhee","2011"
"FRHI","2315071","Melospiza melodia","Song Sparrow","2011"
"FRHI","2315071","Melanerpes carolinus","Red-bellied Woodpecker","2011"
"FRHI","2315071","Hylocichla mustelina","Wood Thrush","2011"
"FRHI","2315071","Empidonax virescens","Acadian Flycatcher","2011"
"FRHI","2315071","Dryocopus pileatus","Pileated Woodpecker","2011"
"FRHI","2315071","Dryobates villosus","Hairy Woodpecker","2011"
"FRHI","2315071","Dryobates pubescens","Downy Woodpecker","2011"
"FRHI","2315071","Cyanocitta cristata","Blue Jay","2011"
"FRHI","2315071","Corvus brachyrhynchos","American Crow","2011"
"FRHI","2315071","Contopus virens","Eastern Wood-Pewee","2011"
"FRHI","2315071","Passerina cyanea","Indigo Bunting","2011"
"BLUE","2315071","Piranga olivacea","Scarlet Tanager","2011"
"FONE","2315071","Poecile atricapillus","Black-capped Chickadee","2011"
"BLUE","2315071","Sitta carolinensis","White-breasted Nuthatch","2011"
"BLUE","2315071","Setophaga virens","Black-throated Green Warbler","2011"
"BLUE","2315071","Setophaga ruticilla","American Redstart","2011"
"BLUE","2315071","Setophaga dominica","Yellow-throated Warbler","2011"
"BLUE","2315071","Setophaga citrina","Hooded Warbler","2011"
"BLUE","2315071","Setophaga caerulescens","Black-throated Blue Warbler","2011"
"BLUE","2315071","Setophaga americana","Northern Parula","2011"
"BLUE","2315071","Seiurus aurocapilla","Ovenbird","2011"
"BLUE","2315071","Turdus migratorius","American Robin","2011"
"BLUE","2315071","Poecile carolinensis","Carolina Chickadee","2011"
"BLUE","2315071","Vireo olivaceus","Red-eyed Vireo","2011"
"BLUE","2315071","Pipilo erythrophthalmus","Eastern Towhee","2011"
"BLUE","2315071","Passerina cyanea","Indigo Bunting","2011"
"BLUE","2315071","Parkesia motacilla","Louisiana Waterthrush","2011"
"BLUE","2315071","Mniotilta varia","Black-and-white Warbler","2011"
"BLUE","2315071","Melanerpes carolinus","Red-bellied Woodpecker","2011"
"BLUE","2315071","Hylocichla mustelina","Wood Thrush","2011"
"BLUE","2315071","Helmitheros vermivorum","Worm-eating Warbler","2011"
"BLUE","2315071","Empidonax virescens","Acadian Flycatcher","2011"
"BLUE","2315071","Dryocopus pileatus","Pileated Woodpecker","2011"
"BLUE","2315071","Dryobates villosus","Hairy Woodpecker","2011"
"BLUE","2315071","Sayornis phoebe","Eastern Phoebe","2011"
"FONE","2315071","Dryocopus pileatus","Pileated Woodpecker","2011"
"FONE","2315071","Pheucticus ludovicianus","Rose-breasted Grosbeak","2011"
"FONE","2315071","Passerina cyanea","Indigo Bunting","2011"
"FONE","2315071","Parkesia motacilla","Louisiana Waterthrush","2011"
"FONE","2315071","Myiarchus crinitus","Great Crested Flycatcher","2011"
"FONE","2315071","Molothrus ater","Brown-headed Cowbird","2011"
"FONE","2315071","Melospiza melodia","Song Sparrow","2011"
"FONE","2315071","Melanerpes carolinus","Red-bellied Woodpecker","2011"
"FONE","2315071","Hylocichla mustelina","Wood Thrush","2011"
"FONE","2315071","Geothlypis trichas","Common Yellowthroat","2011"
"BLUE","2315071","Thryothorus ludovicianus","Carolina Wren","2011"
"FONE","2315071","Dumetella carolinensis","Gray Catbird","2011"
"BLUE","2315071","Cyanocitta cristata","Blue Jay","2011"
"FONE","2315071","Dryobates pubescens","Downy Woodpecker","2011"
"FONE","2315071","Cyanocitta cristata","Blue Jay","2011"
"FONE","2315071","Corvus brachyrhynchos","American Crow","2011"
"FONE","2315071","Contopus virens","Eastern Wood-Pewee","2011"
"FONE","2315071","Colaptes auratus","Northern Flicker","2011"
"FONE","2315071","Certhia americana","Brown Creeper","2011"
"FONE","2315071","Cardinalis cardinalis","Northern Cardinal","2011"
"FONE","2315071","Bombycilla cedrorum","Cedar Waxwing","2011"
"FONE","2315071","Baeolophus bicolor","Tufted Titmouse","2011"
"BLUE","2315071","Vireo solitarius","Blue-headed Vireo","2011"
"FONE","2315071","Empidonax virescens","Acadian Flycatcher","2011"
